#gene_id	length
TRINITY_DN8656_c0_g1	452
TRINITY_DN8776_c0_g1	223
TRINITY_DN17811_c0_g1	2050
TRINITY_DN14363_c0_g1	871
TRINITY_DN10944_c0_g1	871
TRINITY_DN25824_c0_g1	381
TRINITY_DN4285_c0_g1	3861
TRINITY_DN4285_c0_g2	3826
TRINITY_DN30751_c0_g1	472
TRINITY_DN10315_c0_g1	379
TRINITY_DN5597_c0_g1	371
TRINITY_DN4144_c0_g1	346
TRINITY_DN8610_c0_g1	2726
TRINITY_DN28817_c0_g1	332
TRINITY_DN17102_c1_g2	742
TRINITY_DN17102_c1_g1	678
TRINITY_DN13914_c0_g1	1336
TRINITY_DN20578_c0_g1	3668
TRINITY_DN12007_c0_g1	661
TRINITY_DN21351_c6_g1	956
TRINITY_DN21351_c6_g3	219
TRINITY_DN18599_c0_g2	1432
TRINITY_DN21351_c6_g5	389
TRINITY_DN21351_c6_g4	224
TRINITY_DN21351_c6_g7	218
TRINITY_DN21351_c6_g8	224
TRINITY_DN19840_c0_g1	2219
TRINITY_DN17280_c0_g1	827
TRINITY_DN9112_c0_g1	314
TRINITY_DN14283_c0_g1	730
TRINITY_DN3501_c0_g1	304
TRINITY_DN22596_c0_g1	512
TRINITY_DN25112_c0_g1	279
TRINITY_DN20032_c0_g1	2135
TRINITY_DN10128_c0_g1	441
TRINITY_DN1424_c0_g1	294
TRINITY_DN4632_c0_g1	346
TRINITY_DN8681_c0_g1	344
TRINITY_DN25314_c0_g1	224
TRINITY_DN18922_c0_g1	1797
TRINITY_DN22241_c0_g1	631
TRINITY_DN31652_c0_g1	827
TRINITY_DN18281_c1_g2	202
TRINITY_DN18281_c1_g3	283
TRINITY_DN18281_c1_g4	339
TRINITY_DN18281_c1_g5	423
TRINITY_DN32264_c0_g1	499
TRINITY_DN29629_c0_g1	461
TRINITY_DN32851_c0_g1	246
TRINITY_DN21462_c0_g2	4613
TRINITY_DN10386_c0_g1	843
TRINITY_DN19289_c0_g1	3386
TRINITY_DN21257_c6_g1	338
TRINITY_DN13437_c0_g1	998
TRINITY_DN33162_c0_g1	210
TRINITY_DN10343_c0_g1	242
TRINITY_DN14542_c0_g1	1166
TRINITY_DN19976_c0_g1	1572
TRINITY_DN22661_c0_g1	245
TRINITY_DN20794_c7_g8	215
TRINITY_DN20794_c7_g9	1624
TRINITY_DN4662_c0_g1	555
TRINITY_DN20794_c7_g2	258
TRINITY_DN20794_c7_g3	284
TRINITY_DN20794_c7_g5	242
TRINITY_DN14664_c0_g1	918
TRINITY_DN3126_c0_g2	962
TRINITY_DN3126_c0_g1	926
TRINITY_DN27166_c0_g1	268
TRINITY_DN8091_c0_g1	374
TRINITY_DN13885_c0_g1	1692
TRINITY_DN14325_c0_g1	557
TRINITY_DN6364_c1_g2	255
TRINITY_DN6364_c1_g1	307
TRINITY_DN13921_c0_g1	212
TRINITY_DN1948_c0_g1	265
TRINITY_DN12754_c0_g1	771
TRINITY_DN10213_c0_g1	653
TRINITY_DN8557_c0_g1	753
TRINITY_DN13393_c0_g1	758
TRINITY_DN6087_c0_g1	207
TRINITY_DN1308_c0_g1	265
TRINITY_DN4818_c0_g1	216
TRINITY_DN11514_c0_g1	303
TRINITY_DN4818_c0_g2	275
TRINITY_DN25188_c0_g1	207
TRINITY_DN21616_c6_g3	214
TRINITY_DN21616_c6_g2	409
TRINITY_DN21616_c6_g1	260
TRINITY_DN21616_c6_g7	249
TRINITY_DN21616_c6_g6	212
TRINITY_DN21616_c6_g5	204
TRINITY_DN21616_c6_g4	218
TRINITY_DN13288_c0_g1	767
TRINITY_DN13288_c0_g3	318
TRINITY_DN13288_c0_g2	318
TRINITY_DN19805_c2_g1	209
TRINITY_DN20833_c1_g1	1021
TRINITY_DN8353_c0_g1	261
TRINITY_DN4476_c0_g1	621
TRINITY_DN11643_c0_g1	216
TRINITY_DN19895_c0_g1	1729
TRINITY_DN20186_c0_g1	2691
TRINITY_DN21222_c0_g1	6035
TRINITY_DN20489_c1_g1	239
TRINITY_DN26794_c0_g1	320
TRINITY_DN13370_c0_g1	696
TRINITY_DN27074_c0_g1	341
TRINITY_DN17525_c0_g1	3026
TRINITY_DN6268_c0_g1	448
TRINITY_DN8662_c0_g1	615
TRINITY_DN6990_c1_g1	326
TRINITY_DN6990_c1_g2	369
TRINITY_DN20017_c0_g1	521
TRINITY_DN19879_c0_g1	1956
TRINITY_DN19517_c0_g1	1648
TRINITY_DN21394_c1_g5	205
TRINITY_DN21394_c1_g4	284
TRINITY_DN32044_c0_g1	244
TRINITY_DN21394_c1_g1	219
TRINITY_DN21394_c1_g2	209
TRINITY_DN21532_c3_g1	395
TRINITY_DN21532_c3_g2	400
TRINITY_DN10795_c0_g1	701
TRINITY_DN2354_c0_g1	1023
TRINITY_DN2354_c0_g2	1071
TRINITY_DN20076_c2_g1	844
TRINITY_DN6933_c0_g1	206
TRINITY_DN19262_c0_g1	2567
TRINITY_DN15830_c0_g1	1410
TRINITY_DN19713_c2_g2	1473
TRINITY_DN19713_c2_g3	296
TRINITY_DN8995_c0_g1	266
TRINITY_DN228_c1_g1	271
TRINITY_DN13225_c0_g1	608
TRINITY_DN24673_c0_g1	288
TRINITY_DN8995_c0_g2	251
TRINITY_DN5525_c0_g1	206
TRINITY_DN10332_c0_g1	626
TRINITY_DN27571_c0_g1	3001
TRINITY_DN14021_c0_g1	837
TRINITY_DN21042_c1_g1	1274
TRINITY_DN22442_c0_g1	542
TRINITY_DN16692_c0_g1	555
TRINITY_DN17399_c0_g1	1626
TRINITY_DN10669_c0_g3	242
TRINITY_DN10669_c0_g2	233
TRINITY_DN10669_c0_g1	289
TRINITY_DN12869_c0_g1	1657
TRINITY_DN10669_c0_g4	409
TRINITY_DN30457_c0_g1	203
TRINITY_DN17207_c0_g1	2817
TRINITY_DN18375_c0_g2	2052
TRINITY_DN199_c0_g1	597
TRINITY_DN27_c0_g2	301
TRINITY_DN23843_c0_g1	630
TRINITY_DN20284_c11_g2	259
TRINITY_DN13331_c0_g1	495
TRINITY_DN14836_c0_g1	1440
TRINITY_DN17995_c0_g1	2490
TRINITY_DN6575_c0_g1	252
TRINITY_DN2053_c0_g1	254
TRINITY_DN30511_c0_g1	426
TRINITY_DN6393_c0_g1	382
TRINITY_DN15906_c0_g1	2559
TRINITY_DN20896_c0_g1	3020
TRINITY_DN20896_c0_g2	538
TRINITY_DN12227_c1_g1	790
TRINITY_DN25892_c0_g1	410
TRINITY_DN5706_c0_g1	321
TRINITY_DN5782_c0_g1	231
TRINITY_DN19325_c0_g1	2085
TRINITY_DN21514_c0_g1	3783
TRINITY_DN14346_c0_g2	1304
TRINITY_DN29626_c0_g1	272
TRINITY_DN3284_c0_g1	432
TRINITY_DN18588_c0_g1	2083
TRINITY_DN3284_c0_g2	494
TRINITY_DN5427_c0_g1	261
TRINITY_DN23364_c0_g1	1908
TRINITY_DN5936_c0_g1	535
TRINITY_DN8862_c0_g1	508
TRINITY_DN24067_c0_g1	437
TRINITY_DN27690_c0_g1	562
TRINITY_DN26368_c0_g1	326
TRINITY_DN29487_c0_g1	3568
TRINITY_DN15245_c1_g1	233
TRINITY_DN18409_c0_g1	1567
TRINITY_DN15245_c1_g2	403
TRINITY_DN19549_c3_g4	247
TRINITY_DN19549_c3_g5	260
TRINITY_DN19549_c3_g7	204
TRINITY_DN19549_c3_g1	260
TRINITY_DN19549_c3_g2	208
TRINITY_DN14236_c0_g1	1644
TRINITY_DN19022_c4_g2	387
TRINITY_DN8596_c0_g2	234
TRINITY_DN10320_c0_g2	741
TRINITY_DN14492_c0_g1	211
TRINITY_DN19448_c0_g1	1310
TRINITY_DN4420_c0_g2	265
TRINITY_DN8687_c0_g1	582
TRINITY_DN15015_c0_g1	997
TRINITY_DN26532_c0_g1	490
TRINITY_DN17370_c0_g1	3144
TRINITY_DN15517_c0_g1	1215
TRINITY_DN19138_c1_g1	1498
TRINITY_DN13893_c0_g2	232
TRINITY_DN13893_c0_g1	513
TRINITY_DN21749_c0_g1	1266
TRINITY_DN1702_c0_g1	229
TRINITY_DN20259_c0_g1	1250
TRINITY_DN16169_c0_g1	1231
TRINITY_DN20815_c0_g1	2508
TRINITY_DN16936_c0_g1	1442
TRINITY_DN17976_c0_g1	2224
TRINITY_DN13421_c0_g1	756
TRINITY_DN18512_c0_g2	1316
TRINITY_DN18512_c0_g3	201
TRINITY_DN18512_c0_g1	241
TRINITY_DN2531_c0_g2	225
TRINITY_DN14940_c3_g1	312
TRINITY_DN9277_c0_g1	666
TRINITY_DN19143_c5_g4	218
TRINITY_DN20569_c0_g1	2108
TRINITY_DN13685_c0_g1	1062
TRINITY_DN16886_c9_g1	298
TRINITY_DN29894_c0_g1	587
TRINITY_DN7213_c0_g1	220
TRINITY_DN19143_c5_g7	250
TRINITY_DN23417_c0_g1	956
TRINITY_DN4419_c0_g1	235
TRINITY_DN23335_c0_g1	724
TRINITY_DN17005_c0_g1	1612
TRINITY_DN7306_c0_g1	691
TRINITY_DN5289_c0_g2	228
TRINITY_DN5289_c0_g1	228
TRINITY_DN3556_c0_g2	297
TRINITY_DN6097_c0_g2	215
TRINITY_DN28385_c0_g1	337
TRINITY_DN19801_c5_g1	313
TRINITY_DN31760_c0_g1	265
TRINITY_DN16635_c0_g1	773
TRINITY_DN13947_c0_g1	973
TRINITY_DN21744_c0_g1	239
TRINITY_DN18110_c0_g1	3127
TRINITY_DN2103_c0_g1	445
TRINITY_DN24721_c0_g1	258
TRINITY_DN16950_c0_g1	1611
TRINITY_DN12307_c0_g1	263
TRINITY_DN12307_c0_g2	260
TRINITY_DN10987_c0_g5	245
TRINITY_DN19887_c0_g1	2313
TRINITY_DN21580_c9_g1	1043
TRINITY_DN16896_c0_g1	1998
TRINITY_DN12586_c1_g1	1676
TRINITY_DN20313_c0_g1	2626
TRINITY_DN6763_c0_g1	714
TRINITY_DN16006_c2_g8	244
TRINITY_DN31903_c0_g1	1444
TRINITY_DN21530_c1_g1	3141
TRINITY_DN13865_c2_g2	3549
TRINITY_DN13865_c2_g1	333
TRINITY_DN9536_c0_g1	238
TRINITY_DN28604_c0_g1	264
TRINITY_DN14006_c0_g1	720
TRINITY_DN7079_c0_g1	212
TRINITY_DN17895_c0_g1	1164
TRINITY_DN18312_c0_g1	395
TRINITY_DN11165_c0_g1	418
TRINITY_DN25706_c0_g1	821
TRINITY_DN18632_c0_g1	1081
TRINITY_DN21169_c0_g1	3923
TRINITY_DN31727_c0_g2	244
TRINITY_DN27751_c0_g1	255
TRINITY_DN16016_c0_g1	1056
TRINITY_DN15431_c0_g1	1006
TRINITY_DN17108_c0_g1	2029
TRINITY_DN17736_c3_g2	213
TRINITY_DN17736_c3_g3	228
TRINITY_DN17736_c3_g1	445
TRINITY_DN9056_c0_g1	1005
TRINITY_DN26419_c0_g1	247
TRINITY_DN12152_c0_g5	262
TRINITY_DN21488_c0_g2	2979
TRINITY_DN21488_c0_g3	4233
TRINITY_DN11559_c0_g1	980
TRINITY_DN18902_c37_g15	241
TRINITY_DN18902_c37_g12	208
TRINITY_DN12152_c0_g2	227
TRINITY_DN13666_c0_g1	1620
TRINITY_DN5704_c0_g1	618
TRINITY_DN17720_c2_g1	209
TRINITY_DN17720_c2_g2	245
TRINITY_DN17720_c2_g3	252
TRINITY_DN17720_c2_g4	270
TRINITY_DN17720_c2_g5	224
TRINITY_DN17720_c2_g6	441
TRINITY_DN1404_c1_g1	340
TRINITY_DN21079_c3_g9	249
TRINITY_DN21079_c3_g8	277
TRINITY_DN21079_c3_g3	202
TRINITY_DN21079_c3_g2	227
TRINITY_DN21079_c3_g1	201
TRINITY_DN21079_c3_g7	207
TRINITY_DN21079_c3_g5	270
TRINITY_DN21079_c3_g4	371
TRINITY_DN31558_c0_g1	2129
TRINITY_DN13740_c0_g1	849
TRINITY_DN7081_c0_g1	231
TRINITY_DN23694_c0_g1	227
TRINITY_DN13135_c0_g1	1514
TRINITY_DN12922_c0_g2	224
TRINITY_DN1599_c0_g1	448
TRINITY_DN18584_c0_g2	880
TRINITY_DN18584_c0_g1	418
TRINITY_DN9101_c0_g1	1428
TRINITY_DN16677_c1_g2	575
TRINITY_DN2075_c0_g2	313
TRINITY_DN22672_c0_g1	516
TRINITY_DN11585_c0_g1	511
TRINITY_DN2345_c0_g1	1287
TRINITY_DN14811_c0_g1	518
TRINITY_DN14811_c0_g2	335
TRINITY_DN12584_c0_g1	561
TRINITY_DN15225_c0_g1	917
TRINITY_DN1093_c0_g1	426
TRINITY_DN18494_c1_g1	1162
TRINITY_DN18494_c1_g4	531
TRINITY_DN29825_c0_g1	215
TRINITY_DN17520_c0_g1	1072
TRINITY_DN16072_c0_g2	271
TRINITY_DN16072_c0_g1	274
TRINITY_DN16158_c1_g1	296
TRINITY_DN20683_c1_g1	1981
TRINITY_DN24033_c0_g1	292
TRINITY_DN16942_c0_g1	1344
TRINITY_DN14515_c1_g1	210
TRINITY_DN14389_c1_g1	322
TRINITY_DN19838_c0_g1	2411
TRINITY_DN17651_c0_g3	220
TRINITY_DN10607_c0_g1	385
TRINITY_DN14474_c0_g1	1044
TRINITY_DN33438_c0_g1	236
TRINITY_DN27955_c0_g1	530
TRINITY_DN13761_c0_g1	806
TRINITY_DN23267_c0_g1	1795
TRINITY_DN24676_c0_g1	320
TRINITY_DN22637_c0_g1	461
TRINITY_DN18407_c0_g1	1755
TRINITY_DN21474_c0_g2	886
TRINITY_DN21474_c0_g1	4237
TRINITY_DN835_c0_g1	270
TRINITY_DN835_c0_g2	271
TRINITY_DN21319_c1_g4	3718
TRINITY_DN16444_c0_g1	919
